"GEOID","NAME","State","MedianHouseholdIncome","TotalPopulation"
"06001","Alameda County, California","CA","99406","1656754"
"06003","Alpine County, California","CA","63750","1039"
"06005","Amador County, California","CA","62772","38429"
"06007","Butte County, California","CA","52537","225817"
"06009","Calaveras County, California","CA","63158","45514"
"06011","Colusa County, California","CA","59401","21454"
"06013","Contra Costa County, California","CA","99716","1142251"
"06015","Del Norte County, California","CA","45283","27495"
"06017","El Dorado County, California","CA","83377","188563"
"06019","Fresno County, California","CA","53969","984521"
"06021","Glenn County, California","CA","49633","27976"
"06023","Humboldt County, California","CA","48041","135940"
"06025","Imperial County, California","CA","47622","180701"
"06027","Inyo County, California","CA","57316","17977"
"06029","Kern County, California","CA","53350","887641"
"06031","Kings County, California","CA","57848","150691"
"06033","Lake County, California","CA","47040","64195"
"06035","Lassen County, California","CA","56352","30818"
"06037","Los Angeles County, California","CA","68044","10081570"
"06039","Madera County, California","CA","57585","155433"
"06041","Marin County, California","CA","115246","259943"
"06043","Mariposa County, California","CA","48820","17420"
"06045","Mendocino County, California","CA","51416","87224"
"06047","Merced County, California","CA","53672","271382"
"06049","Modoc County, California","CA","45507","8907"
"06051","Mono County, California","CA","62260","14310"
"06053","Monterey County, California","CA","71015","433410"
"06055","Napa County, California","CA","88596","139623"
"06057","Nevada County, California","CA","66096","99244"
"06059","Orange County, California","CA","90234","3168044"
"06061","Placer County, California","CA","89691","385512"
"06063","Plumas County, California","CA","55359","18660"
"06065","Riverside County, California","CA","67005","2411439"
"06067","Sacramento County, California","CA","67151","1524553"
"06069","San Benito County, California","CA","86958","60376"
"06071","San Bernardino County, California","CA","63362","2149031"
"06073","San Diego County, California","CA","78980","3316073"
"06075","San Francisco County, California","CA","112449","874961"
"06077","San Joaquin County, California","CA","64432","742603"
"06079","San Luis Obispo County, California","CA","73518","282165"
"06081","San Mateo County, California","CA","122641","767423"
"06083","Santa Barbara County, California","CA","74624","444829"
"06085","Santa Clara County, California","CA","124055","1927470"
"06087","Santa Cruz County, California","CA","82234","273962"
"06089","Shasta County, California","CA","54667","179212"
"06091","Sierra County, California","CA","52148","3040"
"06093","Siskiyou County, California","CA","45241","43468"
"06095","Solano County, California","CA","81472","441829"
"06097","Sonoma County, California","CA","81018","499772"
"06099","Stanislaus County, California","CA","60704","543194"
"06101","Sutter County, California","CA","59050","96109"
"06103","Tehama County, California","CA","44514","63912"
"06105","Trinity County, California","CA","40846","12700"
"06107","Tulare County, California","CA","49687","461898"
"06109","Tuolumne County, California","CA","60108","54045"
"06111","Ventura County, California","CA","88131","847263"
"06113","Yolo County, California","CA","70228","217352"
"06115","Yuba County, California","CA","58054","76360"
"12001","Alachua County, Florida","FL","49689","265443"
"12003","Baker County, Florida","FL","63275","28211"
"12005","Bay County, Florida","FL","54316","182161"
"12007","Bradford County, Florida","FL","45921","27317"
"12009","Brevard County, Florida","FL","56775","585507"
"12011","Broward County, Florida","FL","59547","1926205"
"12013","Calhoun County, Florida","FL","38568","14362"
"12015","Charlotte County, Florida","FL","51499","181067"
"12017","Citrus County, Florida","FL","44237","145169"
"12019","Clay County, Florida","FL","65740","211405"
"12021","Collier County, Florida","FL","69653","371453"
"12023","Columbia County, Florida","FL","46494","69968"
"12027","DeSoto County, Florida","FL","35438","36903"
"12029","Dixie County, Florida","FL","39828","16589"
"12031","Duval County, Florida","FL","55807","936186"
"12033","Escambia County, Florida","FL","50915","313491"
"12035","Flagler County, Florida","FL","54514","109801"
"12037","Franklin County, Florida","FL","46643","11811"
"12039","Gadsden County, Florida","FL","41401","45945"
"12041","Gilchrist County, Florida","FL","43640","17953"
"12043","Glades County, Florida","FL","40977","13516"
"12045","Gulf County, Florida","FL","47712","15576"
"12047","Hamilton County, Florida","FL","38569","14326"
"12049","Hardee County, Florida","FL","38682","27131"
"12051","Hendry County, Florida","FL","40820","40732"
"12053","Hernando County, Florida","FL","48812","186313"
"12055","Highlands County, Florida","FL","40942","103437"
"12057","Hillsborough County, Florida","FL","58884","1422278"
"12059","Holmes County, Florida","FL","39102","19432"
"12061","Indian River County, Florida","FL","54740","153989"
"12063","Jackson County, Florida","FL","39872","47945"
"12065","Jefferson County, Florida","FL","47240","14161"
"12067","Lafayette County, Florida","FL","50165","8637"
"12069","Lake County, Florida","FL","54513","345867"
"12071","Lee County, Florida","FL","57832","737468"
"12073","Leon County, Florida","FL","53106","289770"
"12075","Levy County, Florida","FL","37326","40403"
"12077","Liberty County, Florida","FL","38015","8345"
"12079","Madison County, Florida","FL","37037","18460"
"12081","Manatee County, Florida","FL","59009","384213"
"12083","Marion County, Florida","FL","45371","353526"
"12085","Martin County, Florida","FL","61133","159065"
"12086","Miami-Dade County, Florida","FL","51347","2699428"
"12087","Monroe County, Florida","FL","70033","75798"
"12089","Nassau County, Florida","FL","69943","83098"
"12091","Okaloosa County, Florida","FL","63412","203794"
"12093","Okeechobee County, Florida","FL","41760","41144"
"12095","Orange County, Florida","FL","58254","1349746"
"12097","Osceola County, Florida","FL","52279","351955"
"12099","Palm Beach County, Florida","FL","63299","1465027"
"12101","Pasco County, Florida","FL","52828","524602"
"12103","Pinellas County, Florida","FL","54090","964666"
"12105","Polk County, Florida","FL","50584","686218"
"12107","Putnam County, Florida","FL","37670","73252"
"12109","St. Johns County, Florida","FL","82252","244674"
"12111","St. Lucie County, Florida","FL","52322","312947"
"12113","Santa Rosa County, Florida","FL","67949","174755"
"12115","Sarasota County, Florida","FL","62236","419496"
"12117","Seminole County, Florida","FL","66768","461402"
"12119","Sumter County, Florida","FL","57226","125044"
"12121","Suwannee County, Florida","FL","47839","44046"
"12123","Taylor County, Florida","FL","40306","21870"
"12125","Union County, Florida","FL","44270","15303"
"12127","Volusia County, Florida","FL","49494","536487"
"12129","Wakulla County, Florida","FL","61410","32321"
"12131","Walton County, Florida","FL","58093","68262"
"12133","Washington County, Florida","FL","37022","24764"
NA,"TestCounty",NA,NA,NA
